"","team","conference","division","rating","wins","rand"
"1","Brooklyn Nets","eastern","atlantic",1501.64471706502,38,0.841397746931762
"2","Charlotte Hornets","eastern","southeast",1486.55635418752,36,0.105804821709171
"3","Chicago Bulls","eastern","central",1281.79233622701,17,0.594500843901187
"4","Cleveland Cavaliers","eastern","central",1291.70411053798,35,0.255619327770546
"5","Dallas Mavericks","western","southwest",1410.51192015701,36,0.649499808903784
"6","Denver Nuggets","western","northwest",1605.25949305349,56,0.0374763093423098
"7","Houston Rockets","western","southwest",1698.37915337422,45,0.0566365094855428
"8","Indiana Pacers","eastern","central",1537.47904854145,48,0.600880193058401
"9","Los Angeles Clippers","western","pacific",1556.09063860876,51,0.420416009379551
"10","Memphis Grizzlies","western","southwest",1420.63193405147,29,0.254995462717488
"11","Miami Heat","eastern","southeast",1488.54270964647,44,0.570233373204246
"12","Milwaukee Bucks","eastern","central",1682.28345975216,49,0.174123393138871
"13","Minnesota Timberwolves","western","northwest",1444.74688980217,43,0.956038542091846
"14","New Orleans Pelicans","western","southwest",1399.48341850195,43,0.146415382856503
"15","Oklahoma City Thunder","western","northwest",1583.87167435297,47,0.456405523233116
"16","Orlando Magic","eastern","southeast",1556.40271421913,28,0.0772207463160157
"17","Phoenix Suns","western","pacific",1262.99203860789,20,0.543793240329251
"18","Portland Trailblazers","western","northwest",1656.81277595087,49,0.198900321032852
"19","San Antonio Spurs","western","southwest",1577.88744698986,42,0.1807200985495
"20","Toronto Raptors","eastern","atlantic",1657.98309262623,57,0.429636938264593
"21","Utah Jazz","western","northwest",1637.25280024021,52,0.959020724287257
"22","Washington Wizards","eastern","southeast",1406.05483704577,39,0.638875378761441
"23","Boston Celtics","eastern","atlantic",1581.01715501768,45,0.549547416623682
"24","Golden State Warriors","western","pacific",1675.56149239966,56,0.533313197316602
"25","New York Knicks","eastern","atlantic",1244.29101146798,30,0.257428716868162
"26","Philadelphia 76ers","eastern","atlantic",1581.27832050254,53,0.110167196020484
"27","Atlanta Hawks","eastern","southeast",1380.15615195849,23,0.346655185334384
"28","Detroit Pistons","eastern","central",1494.42741482021,47,0.707816406385973
"29","Los Angeles Lakers","western","pacific",1448.89561370592,39,0.620420615421608
"30","Sacramento Kings","western","pacific",1450.01745174109,33,0.0470682089217007
"31","Anderson Packers",NA,NA,1499.99945498994,0,0.846896051662043
"32","Chicago Stags",NA,NA,1499.99945498992,0,0.251103491755202
"33","Cleveland Rebels",NA,NA,1499.99945498988,0,0.136418072273955
"34","Denver Nuggets (1st)",NA,NA,1499.99945498973,0,0.266777208540589
"35","Detroit Falcons",NA,NA,1499.99945498986,0,0.934985481901094
"36","Indianapolis Jets",NA,NA,1499.99945498984,0,0.0665376188699156
"37","Indianapolis Olympians",NA,NA,1499.99945498978,0,0.580835420172662
"38","Pittsburgh Ironmen",NA,NA,1499.99945498985,0,0.484699022490531
"39","Providence Steamrollers",NA,NA,1499.99945498978,0,0.511341186938807
"40","Sheboygan Redskins",NA,NA,1499.9994549898,0,0.37109910743311
"41","St. Louis Bombers",NA,NA,1499.99945498985,0,0.598919314332306
"42","Toronto Huskies",NA,NA,1499.99945498986,0,0.668554125120863
"43","Washington Capitols",NA,NA,1499.99945498979,0,0.730140963569283
"44","Waterloo Hawks",NA,NA,1499.99945498981,0,0.704471078468487
"45","Baltimore Bullets",NA,NA,1499.99945498913,0,0.617873919894919
