"","team","conference","division","rating"
"1","Brooklyn Nets","eastern","atlantic",1415.67352353924
"2","Charlotte Hornets","eastern","southeast",1477.84392344977
"3","Chicago Bulls","eastern","central",1385.11858159313
"4","Cleveland Cavaliers","eastern","central",1556.64534583537
"5","Dallas Mavericks","western","southwest",1402.77486838791
"6","Denver Nuggets","western","northwest",1548.10672331355
"7","Houston Rockets","western","southwest",1653.11107874514
"8","Indiana Pacers","eastern","central",1547.3715972461
"9","Los Angeles Clippers","western","pacific",1505.57590022191
"10","Memphis Grizzlies","western","southwest",1378.7057455487
"11","Miami Heat","eastern","southeast",1501.92581188878
"12","Milwaukee Bucks","eastern","central",1511.65192450841
"13","Minnesota Timberwolves","western","northwest",1529.84965234851
"14","New Orleans Pelicans","western","southwest",1561.62540884247
"15","Oklahoma City Thunder","western","northwest",1565.4737135681
"16","Orlando Magic","eastern","southeast",1383.71565254239
"17","Phoenix Suns","western","pacific",1340.83186995414
"18","Portland Trailblazers","western","northwest",1550.62045671654
"19","San Antonio Spurs","western","southwest",1536.46832878734
"20","Toronto Raptors","eastern","atlantic",1583.97453247831
"21","Utah Jazz","western","northwest",1598.93427408971
"22","Washington Wizards","eastern","southeast",1500.16100702829
"23","Boston Celtics","eastern","atlantic",1564.21874157864
"24","Golden State Warriors","western","pacific",1662.1228839773
"25","New York Knicks","eastern","atlantic",1405.05578594991
"26","Philadelphia 76ers","eastern","atlantic",1589.07559154154
"27","Atlanta Hawks","eastern","southeast",1392.87331527808
"28","Detroit Pistons","eastern","central",1481.07151159424
"29","Los Angeles Lakers","western","pacific",1477.89562454988
"30","Sacramento Kings","western","pacific",1391.53480004978
"31","Anderson Packers",NA,NA,1499.99945498994
"32","Chicago Stags",NA,NA,1499.99945498992
"33","Cleveland Rebels",NA,NA,1499.99945498988
"34","Denver Nuggets (1st)",NA,NA,1499.99945498973
"35","Detroit Falcons",NA,NA,1499.99945498986
"36","Indianapolis Jets",NA,NA,1499.99945498984
"37","Indianapolis Olympians",NA,NA,1499.99945498978
"38","Pittsburgh Ironmen",NA,NA,1499.99945498985
"39","Providence Steamrollers",NA,NA,1499.99945498978
"40","Sheboygan Redskins",NA,NA,1499.9994549898
"41","St. Louis Bombers",NA,NA,1499.99945498985
"42","Toronto Huskies",NA,NA,1499.99945498986
"43","Washington Capitols",NA,NA,1499.99945498979
"44","Waterloo Hawks",NA,NA,1499.99945498981
"45","Baltimore Bullets",NA,NA,1499.99945498913
